التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2022-01-03,28,65718376,,محمد سمير ابو الفتوح عهده مكتب العاشر من رمضان,مدينون متنوعون,بنك مصر,1000,
2022-01-03,29,65718377,,شريفه شحات حسن عهده مكتب اشمون,مدينون متنوعون,بنك مصر,1000,
2022-01-03,30,65718378,,حمدى احمد محمد ناجى عهده مكتب منوف,مدينون متنوعون,بنك مصر,1000,
2022-01-03,31,65718379,,حسين ثابت حسن عهده مكتب اسيوط,مدينون متنوعون,بنك مصر,2000,
2022-01-03,32,65718380,,مجدى السيد عبد الهادى عهده اعانات للعاملين والمشتركين باللجنة النقابية بمديرية الطرق والنقل بالقليوبية,مدينون متنوعون,بنك مصر,1000,
2022-01-03,33,65718381,,ايهاب عادل مسعد عهده اللجنة الادارية بشركة صحى الامير,مدينون متنوعون,بنك مصر,2000,
2022-01-03,34,65718382,,علاء عبد الحميد توفيق عهده لمكتب شئون العضوية بقليوب,مدينون متنوعون,بنك مصر,3000,
2022-01-03,35,65718383,,علاء عبد الحميد توفيق عهده لشراء هدايا مكتب شئون العضوية بقليوب,مدينون متنوعون,بنك مصر,5000,
2022-01-03,36,65718384,,احمد نعمان محمد  محمد عهده مصروفات مكتب شئون العضوية بالمنصورة,مدينون متنوعون,بنك مصر,3000,
2022-01-03,37,65718385,,احمد نعمان محمد  محمد عهده لشراء هدايا العام الجديد مكتب شئون العضوية بالمنصورة,مدينون متنوعون,بنك مصر,5000,
2022-01-03,38,65718386,,كريم ابراهيم عبد الحميد عهده لشراء سخان لمكتب شئون العضوية بالجيزة,مدينون متنوعون,بنك مصر,2500,
2022-01-03,39,4315,,حسنين إبراهيم حسنين      وجبات غذائية وفد ليبيا,مدينون متنوعون,بنك العمال 1,23530,
2022-01-03,40,4316,,ناديه محمد ابو القاسم عهده لمكتب شئون العضوية باسوان,مدينون متنوعون,بنك العمال 1,5000,
2022-01-03,41,4317,,ناديه محمد ابو القاسم عهده شراء هدايا العام الجديد مكتب شئون العضوية باسوان,مدينون متنوعون,بنك العمال 1,7000,
2022-01-03,42,4318,,محمد عواد محمد عهده للجنة الادارية للعاملين بشركة انشاء الطرق,مدينون متنوعون,بنك العمال 1,8000,
2022-01-03,43,4319,,طه رمضان حجازى عهده مكتب شئون العضوية بالجيزة,مدينون متنوعون,بنك العمال 1,2500,
2022-01-03,44,4320,,دعاء حسين رمضان رمضان عهده مكتب شئون العضوية ببا محافظة بنى سويف,مدينون متنوعون,بنك العمال 1,2000,
2022-01-03,45,4321,,دعاء حسين رمضان رمضان عهده مكتب شئون العضوية بنى سويف,مدينون متنوعون,بنك العمال 1,2000,
2022-01-03,46,4322,,دعاء حسين رمضان رمضان عهده شراء هدايا العام الجديد مكتب شئون العضوية بنى سويف,مدينون متنوعون,بنك العمال 1,10000,
2022-01-03,47,4323,,محمد مصطفى درويش عهده مكتب شئون العضوية بالاسماعيلية,مدينون متنوعون,بنك العمال 1,2000,
2022-01-03,48,4324,,محمود حسين حسن عهده مكتب شئون العضوية بالسويس,مدينون متنوعون,بنك العمال 1,2000,
2022-01-03,49,4325,,طارق بدوى محمود عهده مكتب شئون العضوية بالمنزلة,مدينون متنوعون,بنك العمال 1,2000,
2022-01-04,50,65718387,,كريم ابراهيم عبد الحميد عهده لزيارة الكنيسة الارثوذكسية بالاسكندرية,مدينون متنوعون,بنك مصر,15000,
2022-01-04,51,65718388,,ماضى تمام عبد العزيز بدل سفر وانتقالات لانهاء بعض اعمال مكتب فرشوط,مدينون متنوعون,بنك مصر,1500,
2022-01-04,52,65718389,,ماضى تمام عبد العزيز عهده مكتب شئون العضوية بفرشوط,مدينون متنوعون,بنك مصر,2000,
2022-01-04,53,65718390,,الشاذلى على محمد الشاذلى مصروفات مكتب شئون العضوية بمدينه السادات,مكاتب شئون العضوية,بنك مصر,2600,
2022-01-04,54,65718391,,عبد المعبود عبد السلام حسن عهده مكتب شئون العضوية بشبرا الخيمة,مدينون متنوعون,بنك مصر,1000,
2022-01-04,55,65718392,,امل فاروق عبد الله عبد الله عهده مكتب شئون العضوية بـ 6 أكتوبر,مدينون متنوعون,بنك مصر,1000,
2022-01-04,56,65718393,,امل فاروق عبد الله عبد الله عهده لشراء هدايا العام الجديد مكتب شئون العضوية بـ 6 أكتوبر,مدينون متنوعون,بنك مصر,3000,
2022-01-04,57,65718394,,جوزيف فؤاد ايوب سلفة تخصم من الراتب من 1/1/2022 حتى 31/7/2022,سلف العاملين,بنك مصر,15000,
2022-01-04,58,65718395,,طارق سيد على خلاف على خلاف مصروفات استضافة ومشروبات واكراميات بنادى المقاولون العرب للتجديف والشراع,مناسبات متنوعة,بنك مصر,2673,
2022-01-04,59,65718396,,ايمن عبد العزيز عبد الله عهده للشئون القانونية بالنقابة العامة,مدينون متنوعون,بنك مصر,5000,
2022-01-04,60,65718397,,عماد الدين محمد مبروك عهده لشراء جهاز حاسب آلى طابعه لمكتب شئون العضوية بالمنصورة 2,مدينون متنوعون,بنك مصر,8000,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,اعانات اجتماعية,,100,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,اكراميات ونثريات,,275,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,بريد,,48,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,تليفون,,580,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,ضيافة وبوفيه,,2037.75,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,مطبوعات وادوات كتابية,,1191.6,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,ادوات نظافة ومنظفات,,329.5,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,انتقالات داخلية,,520,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,مكافأت وبدل العمل أيام الاجازات الرسمية,,200,
2022-01-04,61,65718398,,عاطف ابا زيد مرسى عهده مصروفات ادارية استعاضة,,بنك مصر,5281.85,
2022-01-04,62,65718399,,نجوى ابراهيم عبده على عهده  لشراء هدايا العام الجديد اللجنة المهنية للبناء والاخشاب بدسوق,مدينون متنوعون,بنك مصر,5000,
2022-01-05,63,65718400,,عماد الدين محمد مبروك عهده لشراء جهاز حاسب آلى طابعه للجنة المهنية للبناء والاخشاب ببنى سويف,مدينون متنوعون,بنك مصر,8000,
2022-01-05,64,4326,,دار ايام الاسبوع للتوريدات نشر واعلان,اعلانات,,3000,
2022-01-05,64,4326,,دار ايام الاسبوع للتوريدات نشر واعلان,,بنك العمال 1,2910,
2022-01-05,64,4326,,دار ايام الاسبوع للتوريدات نشر واعلان,,ضرائب الخصم والاضافة,90,
2022-01-05,65,4327,,طارق عراقى محمد جاد شراء هدايا العام الجديد الهيئة العامة للطرق والكبارى بمنطقة شرق الدلتا بالزقازيق,مدينون متنوعون,بنك العمال 1,2795,
2022-01-05,66,4328,,سمير السيد أحمد احمد شراء ادوات كتابية للسنه الجديدة,مدينون متنوعون,بنك العمال 1,9450,
2022-01-10,67,4329,,سمير السيد أحمد احمد سلفيات العاملين على ان تخصم على مدار العام حتى 31/12/2022,سلف العاملين,بنك العمال 1,405000,
2022-01-10,68,4330,,سمير السيد أحمد احمد بدل حضور اعضاء مجلس الادارة,بدلات أعضاء مجلس الادارة,بنك العمال 1,12450,
2022-01-10,69,4331,,محمد محمد حسن بدل سفروانتقال للمرور على بعض اللجان النقابية بدمنهور وكفر الشيخ,بدل سفر وانتقال,بنك العمال 1,5260,
2022-01-10,70,4332,,محمد مصطفى عبد الباقى شراء هدايا العام الجديد مكاتب الفيوم ( اطسا - ابشواى - سنورس - طامية - يوسف الصديق ),مكاتب شئون العضوية,بنك العمال 1,7390,
2022-01-10,71,4333,,محمد مصطفى عبد الباقى عهده مكاتب الفيوم ( اطسا - ابشواى - سنورس - طامية - يوسف الصديق ),مدينون متنوعون,بنك العمال 1,10000,
2022-01-10,72,4334,,جابر حنفى محمود عهده شراء هدايا لمكاتب العمل والتامينات والمتعاونين مع النقابة العامة,مدينون متنوعون,بنك العمال 1,2500,
2022-01-10,73,65718401,,احمد هشام السيد على الطحان عهده لزيارات بعض المحافظات ( بورسعيد - الاسماعيلية ),مدينون متنوعون,بنك مصر,15000,
2022-01-11,74,65718402,,محمد رافت عبد القوى عبد ربه وجبات غذائية,مدينون متنوعون,بنك مصر,24350,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),اكراميات ونثريات,,400,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),تليفون,,1309,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),ضيافة وبوفيه,,100,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),مطبوعات وادوات كتابية,,962.12,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),السيارة,,400,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),ادوات نظافة ومنظفات,,329.5,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),انتقالات داخلية,,250,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),النت,,490,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),مستلزمات كمبيوتر,,165,
2022-01-11,75,65718403,,عاطف ابا زيد مرسى عهده ادارية ( استعاضة ),,بنك مصر,4405.62,
2022-01-11,76,65718404,,عماد الدين محمد مبروك استكمال عهده شراء اجهزة وطابعات مكتب المنصورة 2 وبنى سويف,مدينون متنوعون,بنك مصر,6000,
2022-01-11,77,65718405,,السيد محمد محمود عميرة مصروفات وبدل سفر وانتقال مكتب شئون العضوية بابو حماد,مكاتب شئون العضوية,بنك مصر,2400,
2022-01-11,78,65718406,,كريم ابراهيم عبد الحميد تسويه عهده للسفر الى الاسكندرية وكفر الشيخ والبحيرة لحضور اجتماعات بقيادة السيد الاستاذ رئيس النقابة العامة وامين عام النقابة,مناسبات متنوعة,,27526.5,
2022-01-11,78,65718406,,كريم ابراهيم عبد الحميد تسويه عهده للسفر الى الاسكندرية وكفر الشيخ والبحيرة لحضور اجتماعات بقيادة السيد الاستاذ رئيس النقابة العامة وامين عام النقابة,,بنك مصر,11776.5,
2022-01-11,78,65718406,,كريم ابراهيم عبد الحميد تسويه عهده للسفر الى الاسكندرية وكفر الشيخ والبحيرة لحضور اجتماعات بقيادة السيد الاستاذ رئيس النقابة العامة وامين عام النقابة,,مدينون متنوعون,15000,
2022-01-11,78,65718406,,كريم ابراهيم عبد الحميد تسويه عهده للسفر الى الاسكندرية وكفر الشيخ والبحيرة لحضور اجتماعات بقيادة السيد الاستاذ رئيس النقابة العامة وامين عام النقابة,,ضريبة كسب العمل,750,
2022-01-11,79,65718407,,احمد هشام السيد على الطحان تسويه عهده لشراء هدايا العام الجديد لمحافظات ( الاسكندرية - كفر الشيخ - البحيرة ),مناسبات متنوعة,,16675,
2022-01-11,79,65718407,,احمد هشام السيد على الطحان تسويه عهده لشراء هدايا العام الجديد لمحافظات ( الاسكندرية - كفر الشيخ - البحيرة ),,بنك مصر,1513.25,
2022-01-11,79,65718407,,احمد هشام السيد على الطحان تسويه عهده لشراء هدايا العام الجديد لمحافظات ( الاسكندرية - كفر الشيخ - البحيرة ),,مدينون متنوعون,15000,
2022-01-11,79,65718407,,احمد هشام السيد على الطحان تسويه عهده لشراء هدايا العام الجديد لمحافظات ( الاسكندرية - كفر الشيخ - البحيرة ),,ضرائب الخصم والاضافة,161.75,
2022-01-16,80,4335,,جوزيف فؤاد ايوب  تغير زيت للسيارة الميكروباص ماركة و ى د 689,السيارة,بنك العمال 1,880,
2022-01-16,81,4336,,طارق سيد على خلاف على خلاف مصروفات السيارة البيجو رقم 236,السيارة,بنك العمال 1,2020,
2022-01-16,82,4337,,سمير السيد أحمد احمد بدل عمل ايام السبت لبعض الزملاء,مكافأت وبدل العمل أيام الاجازات الرسمية,بنك العمال 1,700,
2022-01-19,83,4338,,ايمن عبد العزيز عبد الله مصروفات الشئون القانونية بالنقابة العامة,مصاريف محاماة,بنك العمال 1,5000,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,مناسبات متنوعة,,400,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,اعانات اجتماعية,,100,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,مصاريف اجتماعات,,1100.25,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,اكراميات ونثريات,,585,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,بريد,,206,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,تليفون,,268,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,ضيافة وبوفيه,,660,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,مطبوعات وادوات كتابية,,315,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,ادوات نظافة ومنظفات,,470,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,انتقالات داخلية,,150,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,مستلزمات كمبيوتر,,280,
2022-01-19,84,4339,,عاطف ابا زيد مرسى مصروفات ادارية استعاضة,,بنك العمال 1,4534.25,
2022-01-19,85,4340,,احمد هشام السيد على الطحان عهده السيارة رقم هونداى سولارس 569,مدينون متنوعون,بنك العمال 1,2000,
2022-01-22,86,65718408,,عدلى احمد عبد العال مصروفات وبدل سفر مكاتب نجع حمادى وقنا,مكاتب شئون العضوية,بنك مصر,6150,
2022-01-16,87,65718409,,طارق سيد على خلاف على خلاف عهده مصروفات السيارة ماركة هونداى توسان 564,مدينون متنوعون,بنك مصر,7000,
2022-01-16,88,,,كريم ابراهيم عبد الحميد تسويه شراء سخان لمكتب شئون العضوية بالجيزة,اكراميات ونثريات,,280,
2022-01-16,88,,,كريم ابراهيم عبد الحميد تسويه شراء سخان لمكتب شئون العضوية بالجيزة,انتقالات داخلية,,150,
2022-01-16,88,,,كريم ابراهيم عبد الحميد تسويه شراء سخان لمكتب شئون العضوية بالجيزة,أجهزة الكترونية وكهربائية,,2070,
2022-01-16,88,,,كريم ابراهيم عبد الحميد تسويه شراء سخان لمكتب شئون العضوية بالجيزة,,مدينون متنوعون,2500,
2022-01-16,89,65718410,,محمد رافت عبد القوى عبد ربه وجبات غذائية اعضاء مجلس الادارة,مدينون متنوعون,بنك مصر,24640,
2022-01-16,90,65718411,,نادى المقاولون العرب الرياضى للتجديف والشراع وجبات غذائية ومشروبات اثناء اجتماع المجلس بالنادى,مصاريف اجتماعات,بنك مصر,12968,
2022-01-16,91,65718412,,جيهان جرجس حلمى جريدة مجلة حياة جديدة نشر واعلان,اعلانات,,1500,
2022-01-16,91,65718412,,جيهان جرجس حلمى جريدة مجلة حياة جديدة نشر واعلان,,بنك مصر,1455,
2022-01-16,91,65718412,,جيهان جرجس حلمى جريدة مجلة حياة جديدة نشر واعلان,,ضرائب الخصم والاضافة,45,
2022-01-16,92,65718413,,عماد حليم انيس مجله السلام الاجتماعى نشر واعلان,اعلانات,,1500,
2022-01-16,92,65718413,,عماد حليم انيس مجله السلام الاجتماعى نشر واعلان,,بنك مصر,1455,
2022-01-16,92,65718413,,عماد حليم انيس مجله السلام الاجتماعى نشر واعلان,,ضرائب الخصم والاضافة,45,
2022-01-19,93,65718414,,طلعت عبد العال حسين مساهمة فى العلاج رئيس اللجنة المهنية بسوهاج,تعويضات ومساهمات,بنك مصر,5000,
2022-01-19,94,65718415,,السيد فرغلى السيد مساهمة فى العلاج من العاملين باللجنة المهنية بسوهاج,تعويضات ومساهمات,بنك مصر,1000,
2022-01-20,95,65718416,,جابر حنفى محمود عبدل حضور لجان وتسويات وديه,لجان ثلاثية,بنك مصر,595,
2022-01-23,96,65718417,,محمد مصطفى عبد الباقى بدل انتقال يناير 2022 لمكتب بنى سويف,مرتبات ومكافأة شاملة,بنك مصر,100,
2022-01-23,97,65718418,,اشرف ابراهيم السيد بدل انتقال يناير 2022,مرتبات ومكافأة شاملة,,1100,
2022-01-23,97,65718418,,اشرف ابراهيم السيد بدل انتقال يناير 2022,,بنك مصر,1045,
2022-01-23,97,65718418,,اشرف ابراهيم السيد بدل انتقال يناير 2022,,ضريبة كسب العمل,55,
2022-01-23,98,65718419,,ابراهيم عبد الله حسيب بدل انتقال يناير 2022,مرتبات ومكافأة شاملة,,1590,
2022-01-23,98,65718419,,ابراهيم عبد الله حسيب بدل انتقال يناير 2022,,بنك مصر,1520,
2022-01-23,98,65718419,,ابراهيم عبد الله حسيب بدل انتقال يناير 2022,,ضريبة كسب العمل,70,
2022-01-23,99,65718420,,ايمن عبد العزيز عبد الله بدل انتقال يناير 2022,مرتبات ومكافأة شاملة,,2110,
2022-01-23,99,65718420,,ايمن عبد العزيز عبد الله بدل انتقال يناير 2022,,بنك مصر,2040,
2022-01-23,99,65718420,,ايمن عبد العزيز عبد الله بدل انتقال يناير 2022,,ضريبة كسب العمل,70,
2022-01-23,100,65718421,,محمد كرم عباس محمد بدل انتقال يناير 2022,مرتبات ومكافأة شاملة,,1570,
2022-01-23,100,65718421,,محمد كرم عباس محمد بدل انتقال يناير 2022,,بنك مصر,1520,
2022-01-23,100,65718421,,محمد كرم عباس محمد بدل انتقال يناير 2022,,ضريبة كسب العمل,50,
2022-01-23,101,65718422,,محمد داود حسين بدل انتقال يناير 2022,مرتبات ومكافأة شاملة,,850,
2022-01-23,101,65718422,,محمد داود حسين بدل انتقال يناير 2022,,بنك مصر,770,
2022-01-23,101,65718422,,محمد داود حسين بدل انتقال يناير 2022,,ضريبة كسب العمل,80,
2022-01-23,102,65718423,,عبد العليم محمد ابو الوفا بدل انتقال يناير 2022,مرتبات ومكافأة شاملة,,850,
2022-01-23,102,65718423,,عبد العليم محمد ابو الوفا بدل انتقال يناير 2022,,بنك مصر,770,
2022-01-23,102,65718423,,عبد العليم محمد ابو الوفا بدل انتقال يناير 2022,,ضريبة كسب العمل,80,
2022-01-23,103,65718424,,صالح نسيم محمد بدل انتقال يناير 2022 مكتب العاشر من رمضان,مرتبات ومكافأة شاملة,,1000,
2022-01-23,103,65718424,,صالح نسيم محمد بدل انتقال يناير 2022 مكتب العاشر من رمضان,,بنك مصر,900,
2022-01-23,103,65718424,,صالح نسيم محمد بدل انتقال يناير 2022 مكتب العاشر من رمضان,,ضريبة كسب العمل,100,
2022-01-23,104,65718425,,محمد بهاء الدين محمد بدل انتقال 2022,مرتبات ومكافأة شاملة,,1100,
2022-01-23,104,65718425,,محمد بهاء الدين محمد بدل انتقال 2022,,بنك مصر,990,
2022-01-23,104,65718425,,محمد بهاء الدين محمد بدل انتقال 2022,,ضريبة كسب العمل,110,
2022-01-23,105,65718426,,محمد حسنى محمد تونى بدل انتقال 2022,مرتبات ومكافأة شاملة,,1100,
2022-01-23,105,65718426,,محمد حسنى محمد تونى بدل انتقال 2022,,بنك مصر,990,
2022-01-23,105,65718426,,محمد حسنى محمد تونى بدل انتقال 2022,,ضريبة كسب العمل,110,
2022-01-23,106,65718427,,عزت عبد الوهاب احمد بدل انتقال 2022,مرتبات ومكافأة شاملة,,3530,
2022-01-23,106,65718427,,عزت عبد الوهاب احمد بدل انتقال 2022,,بنك مصر,3360,
2022-01-23,106,65718427,,عزت عبد الوهاب احمد بدل انتقال 2022,,ضريبة كسب العمل,170,
2022-01-23,107,65718428,,نبويه عاشور محمود اعانة يناير 2022,اعانات اجتماعية,بنك مصر,350,
2022-01-23,108,65718429,,سناء مصطفى محمد مصطفى اعانة يناير 2022,اعانات اجتماعية,بنك مصر,100,
2022-01-23,109,65718430,,هانم فؤاد حنفى احمد اعانة اجتماعية يناير 2022,اعانات اجتماعية,بنك مصر,400,
2022-01-23,110,65718431,,نعناعة عبد الرحمن احمد اعانه اجتماعية يناير 2022,اعانات اجتماعية,بنك مصر,450,
2022-01-23,111,65718432,,تحيه محمد عيسى خليل اعانة اجتماعية يناير 2022,اعانات اجتماعية,بنك مصر,450,
2022-01-23,112,65718433,,سيده زكى محمد ابراهيم اعانه اجتماعية يناير 2022,اعانات اجتماعية,بنك مصر,200,
2022-01-23,113,65718434,,سعديه احمد محمد اعانه اجتماعيه يناير 2022,اعانات اجتماعية,بنك مصر,50,
2022-01-23,114,65718435,,ماجده عبد الله عبد اللطيف اعانه اجتماعية يناير 2022,اعانات اجتماعية,بنك مصر,200,
2022-01-23,115,65718436,,نعيمة مصطفى محمد مصطفى اعانه اجتماعية 2022,اعانات اجتماعية,بنك مصر,150,
2022-01-23,116,65718437,,سحر رمضان عبد المجيد عبد الوهاب اعانه اجتماعية 2022,اعانات اجتماعية,بنك مصر,350,
2022-01-23,117,65718438,,فاطمة ابراهيم السيد على اعانه يناير 2022,اعانات اجتماعية,بنك مصر,50,
2022-01-23,118,65718439,,رمضان اسماعيل احمد اعانه اجتماعية يناير 2022,اعانات اجتماعية,بنك مصر,75,
2022-01-23,119,65718441,,فاطمة حنفى على امين اعانه يناير 2022,اعانات اجتماعية,بنك مصر,350,
2022-01-23,120,65718442,,باتعة عبد اللطيف ابراهيم اعانه يناير 2022,اعانات اجتماعية,بنك مصر,75,
2022-01-23,121,65718443,,رجاء عبد الفتاح محمد اعانه يناير 2022,اعانات اجتماعية,بنك مصر,450,
2022-01-23,122,65718444,,كريم ابراهيم عبد الحميد عهده شراء ادوات كتابية ومكتبية لمكتب رئيس النقابة العامة,مدينون متنوعون,بنك مصر,5000,
2022-01-23,123,65718445,,سمير السيد أحمد احمد بدل عمل يوم السبت لبعض الزملاء,مكافأت وبدل العمل أيام الاجازات الرسمية,بنك مصر,350,
2022-01-23,124,65718446,,محمد محمد حسن مصروفات مجمع اللجان بالاسكندرية وبدل سفر,مجمع لجان الإسكندرية,,1183.7,
2022-01-23,124,65718446,,محمد محمد حسن مصروفات مجمع اللجان بالاسكندرية وبدل سفر,بدل سفر وانتقال,,850,
2022-01-23,124,65718446,,محمد محمد حسن مصروفات مجمع اللجان بالاسكندرية وبدل سفر,,بنك مصر,2033.7,
2022-01-23,125,65718448,,بهجت احمد حامد مساهمة فى علاجه,علاج ومستلزمات طبية,بنك مصر,1000,
2022-01-23,126,65718449,,محمد محمد حسن بدل شفر وانتقال الى محافظة كفر الشيخ والبحيرة,بدل سفر وانتقال,بنك مصر,6100,
2022-01-23,127,65718451,,ايمن محمد احمد الشربينى رئيس اللجنة المهنية ببلقاس مساهمة فى العلاج,علاج ومستلزمات طبية,بنك مصر,1500,
2022-01-24,128,65718452,,رحمه عبد الرحيم عبد العال اعانة يناير 2022,اعانات اجتماعية,بنك مصر,450,
2022-01-24,129,65718453,,احمد خميس عبد العال اعانة اجتماعية يناير 2022 اسيوط,اعانات اجتماعية,بنك مصر,100,
2022-01-24,130,65718454,,خميس ابراهيم حسين اعانة يناير 2022 اسيوط,اعانات اجتماعية,بنك مصر,100,
