"بيان حصص واشتراكات  للشركات 
عن الفترة من    1 /   1 / 2024           حتى     31 / 1   /  2024                   ";;;;;
46;اللجنه النقابية بشركة المتحده  للاسكان والتعمير ;;;;
47;اللجنه النقابية بشركة المساهمة المصرية  للمقاولات- العبد المنصورة;;;;
48;اللجنه النقابية بشركة طرق ونقل الدقهلية ;;;;
49;اللجنه النقابية بشركة الهيئة العامة للطرق والكبارى - الشرقية _شرق الدلتا;;;;
50;اللجنه النقابية بشركةطرق ونقل الشرقيه;;;;
51;اللجنه النقابية طرق وكبارى الاسماعيلية;;;;
52;اللجنه النقابية منطقة القنال وسيناء بالاسماعيلية;;;;
53;اللجنه النقابية بالمجموعة الوطنية لاستثمارات الاوقاف (المحمودية سابقا);;;;
54;اللجنه النقابية بشركة أسمنت أسيوط ;;;;
55;اللجنه النقابية بشركة طرق وكبارى قنا ;;;;
56;اللجنه النقابية بشركة المصرية للخرسانة سابقة الاجهاد ;;;;
57;اللجنه النقابية بشركة العربية للخزف - اراسمكو ;;;;
58;اللجنه النقابية بشركة طرق ونقل الخارجة الوادى الجديد ;;;;
59;اللجنه النقابية بشركة بطرق ونقل بنى سويف ;;;;
60;اللجنه النقابية بشركة الجمعية التعاونية لصناع الاثاث;;;;
61;اللجنه النقابية بشركة  بطرق وكبارى أسيوط ;;;;
62;اللجنه النقابية بشركة بمديرية طرق ونقل السويس ;;;;
63;اللجنه النقابية بشركة بمديرية طرق ونقل الجيزة ;;;;
64;اللجنه النقابية بشركة أسمنت العامرية ;;;;
65;اللجنه النقابية بالهيئة العامه لتعاونيات البناء والاسكان ;;;;
66;اللجنه النقابية بشركة بطرق ونقل المنوفية ;;;;
67;اللجنه النقابية بشركة مصر الجديدة للاسكان والتعمير ;;;;
68;اللجنه النقابية بشركة أسمنت بنى سويف  ;;;;
69;اللجنه النقابية بشركة طرق وكبارى أسوان ;;;;
70;اللجنه النقابية بشركة سورناجا للسيراميك ;;;;
71;اللجنه النقابية بشركة المنزل مصر لاعمال المفروشات ;;;;
72;اللجنه النقابية بشركة الامير لانتاج الاطقم الصحية;;;;
73;اللجنه النقابية بشركة الفا جروب ;;;;
74;اللجنه النقابية بشركة  الفا اتنين;;;;
75;اللجنة النقابية بشركة لافارج اسمنت مصر;;;;
76;اللجنة النقابية بشركة سيراميكا كلوباترا العاشر من رمضان ;;;;
77;اللجنه النقابية بشركة سيراميكا فيردى;;;;
78;اللجنة النقابية بشركة المصرية تنمية مواد البناء ديكوم;;;;
79;اللجنة النقابية بشركة نجع حمادى للفيبر بورد ;;;;
80;اللجنة النقابية بشركة الحجاز استيل للصناعات الخشبية ;;;;
81;اللجنة النقابية بشركة مصر للتعمير;;;;
82;اللجنة النقابية بطرق وكبارى سيناء ;;;;
83;اللجنة النقابية باللجنة الادارية لطرق ونقل الاسكندرية ;;;;
84;اللجنة النقابية بشركة سيراميكا كلوباترا السويس;;;;
85;اللجنة النقابية بشركة سيراميك لابوتية;;;;
86;اللجنة النقابية بشركة النيل للتوريدات المعمارية;;;;
87;اللجنة النقابية شركة لافارج  __ redy mix;;;;
88;شركة عصفور للتعدين والحراريات;;;;
89;شركة السويس للاكياس;;;;
90;شركة سيراميكا ارت;;;;
91;سراميكا الامير;;;;
92;شركة اكريلكون;;;;
93;شركة موبيكا للصناعات المتكاملة;;;;
94;الشركة المصرية للمقاولات الكهربائية جينى بروسيس;;;;
95;الشركة المصرية للطوب الطفلى القومية;;;;
96;شركة اراسكوم لانشاء الطرق;;;;
97;شركة كليوباترا لصناعات مواد البناء;;;;
98;شركة موندى كايرو لمواد التغليف;;;;
الاجمالى ;;;;;
