الكود القديم;اسم الحساب;كود القسم;اسم القسم;الكود الجديد;نوع الحساب;طبيعة الحساب;ملاحظات
092;تامين تكافلى422;1100;الأصول المتداولة;1128;أصول;مدين;عهدة معلقة - تبقى أصل حسب توجيه المستخدم. يُرجى مراجعة الفرق بينه وبين حساب 076 (تأمين تكافلى) لتوضيح إن كانا حسابين فعليين مختلفين أم تكراراً يستوجب الدمج.
2200;;;;;;;
093;دمغة;2200;الالتزامات المتداولة;2211;التزامات;دائن;
1100;;;;;;;
094;تامينات عاملين مستقطعه وتسدد لمكاتب تامينات بالمحافظات;1100;الأصول المتداولة;1129;أصول;مدين;عهدة معلقة - تبقى أصل حسب توجيه المستخدم. ملاحظة: من حيث الطبيعة قد يكون الأنسب محاسبياً اعتباره التزاماً (مبالغ مستقطعة من العاملين لم تُورَّد بعد لمكاتب التأمينات) - يُرجى المراجعة مع المحاسب المختص عند التسوية.
095;المخزن500;1100;الأصول المتداولة;1119;أصول;مدين;دُمج مع أي إشارة مكررة باسم 'المخزن' ضمن الأصول الثابتة لتفادي الازدواج.
1000;;;;;;;
096;أجهزة الكترونية وكهربائية;1000;الأصول طويلة الأجل (أصول ثابتة);1002;أصول;مدين;أصل ثابت
097;اثاث وأجهزة;1000;الأصول طويلة الأجل (أصول ثابتة);1003;أصول;مدين;أصل ثابت
098;حاسب الى;1000;الأصول طويلة الأجل (أصول ثابتة);1004;أصول;مدين;أصل ثابت
1100;;;;;;;
099;عهد وسلف مدينون متنوعون 2021;1100;الأصول المتداولة;1114;أصول;مدين;
100;اشتركات لجان الشركات والهيئات (مكرر);1100;الأصول المتداولة;1111;أصول;مدين;حساب مكرر لنفس اسم ورصيد حساب 081 - يوصى بدمجه نهائياً في 081/1111 وعدم استخدامه ككود مستقل جديد.
101;مدينون متنوعون فروق تامينية 2021;1100;الأصول المتداولة;1112;أصول;مدين;
102;قروض عاملين بنك التنمية 2021 (أصل);1100;الأصول المتداولة;1113;أصول;مدين;المبلغ المُقرض للعامل (أصل)، مقابل حساب 082 وهو الوجه الآخر (القسط المستحق سداده كالتزام).
103;مدينون متنوعون فروق تامينية 2020;1100;الأصول المتداولة;1115;أصول;مدين;
104;قروض عاملين بنك التنمية 2020;1100;الأصول المتداولة;1116;أصول;مدين;
105;عهد وسلف مدينون متنوعون 2020;1100;الأصول المتداولة;1117;أصول;مدين;
106;ارصدة مدينة أخرى;1100;الأصول المتداولة;1118;أصول;مدين;
1000;;;;;;;
107;سيارات;1000;الأصول طويلة الأجل (أصول ثابتة);1005;أصول;مدين;أصل ثابت
108;إضافات الأصول من 2003 وحتى 2021;1000;الأصول طويلة الأجل (أصول ثابتة);1006;أصول;مدين;أصل ثابت
109;مبانى وانشاءات;1000;الأصول طويلة الأجل (أصول ثابتة);1007;أصول;مدين;أصل ثابت
2100;;;;;;;
110;مجمع اهلاك أجهزة الكترونية وكهربائية;2100;مجمع اهلاك أصول ثابتة;2101;التزامات;دائن;حساب مقابل (Contra-Asset) - يُخصم من الأصل الثابت المقابل
111;مجمع اهلاك اثاث وأجهزة;2100;مجمع اهلاك أصول ثابتة;2102;التزامات;دائن;حساب مقابل (Contra-Asset)
112;مجمع اهلاك حاسب الى;2100;مجمع اهلاك أصول ثابتة;2103;التزامات;دائن;حساب مقابل (Contra-Asset)
113;مجمع اهلاك سيارات;2100;مجمع اهلاك أصول ثابتة;2104;التزامات;دائن;حساب مقابل (Contra-Asset)
114;مجمع اهلاك إضافات الأصول من 2003 وحتى 2021;2100;مجمع اهلاك أصول ثابتة;2105;التزامات;دائن;حساب مقابل (Contra-Asset)
115;مجمع اهلاك مبانى وانشاءات;2100;مجمع اهلاك أصول ثابتة;2106;التزامات;دائن;حساب مقابل (Contra-Asset)
2000;;;;;;;
116;الفائض المرحل;2000;الاحتياطيات وفائض العام (حقوق الملكية);2001;حقوق ملكية;دائن;
117;الاحتياطي القانوني 5%;2000;الاحتياطيات وفائض العام (حقوق الملكية);2002;حقوق ملكية;دائن;
