التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2021-11-08,37,,1300000044600,سحب بشيك لإحمد محمد مرسى,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,2500,نعم
2021-11-14,38,,1300000044601,سحب بشيك المستفيد سعيد محمود محمد,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,1000,نعم
2021-11-15,39,,000000004085,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,35976,نعم
2021-11-18,40,,400068888437,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,7505.5,نعم
2021-11-15,41,,U14437-9600,ة تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-11-15,42,,000000004085,ة تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-11-15,43,,U14437-9700,ة تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2021-11-15,44,,400068888437,ة تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2021-11-23,45,,1300000044602,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,1012.5,نعم
2021-11-28,46,,1300000044604,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2021-11-28,47,,1300000044603,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,3500,نعم
2021-11-29,48,,U15578-1,مصاريف إصدار دفاتر شيكات,بنكية,بنك القاهرة - لجنة مصر الجديدة,240,نعم
2021-12-09,49,,T4871-3100,إيداع نقدى / عماد الدين محمد بشندى,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,5250,نعم
2021-12-09,50,,1300000064981,سحب بشيك من الحساب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,7700,نعم
2021-12-23,51,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2021-12-30,52,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
